id_petak,rezim,hari,fase,tma,irigasi,etc,perkolasi,limpasan,hujan_mm
PTK-06,SRI,110,pemasakan,-5.791868097465548,36.17434048732773,4.633,1.1588680974655472,0.0,0.0
PTK-07,FL,1,awal,14.227807244777853,0.0,3.936,1.8361927552221458,0.0,0.0
PTK-07,FL,2,awal,9.80255741549994,0.0,3.119,1.3062498292779126,0.0,0.0
PTK-07,FL,3,awal,8.458702148095444,0.0,2.896,1.1478552674044953,0.0,2.7
PTK-07,FL,4,awal,11.157901412293619,0.0,3.154,1.446800735801826,0.0,7.3
PTK-07,FL,5,awal,7.256498525456794,0.0,2.877,1.0244028868368245,0.0,0.0
PTK-07,FL,6,awal,9.2665193789734,0.0,3.227,1.2629791464833948,0.0,6.5
PTK-07,FL,7,awal,7.248592026170242,0.0,2.257,0.9609273528031574,0.0,1.2
PTK-07,FL,8,awal,33.8792975891963,0.0,3.219,3.7502944369739457,0.0,33.6
PTK-07,FL,9,awal,50.0,0.0,2.34,7.039898535440259,17.299399053756034,42.8
PTK-07,FL,10,awal,41.03551811194464,0.0,4.374,4.590481888055365,0.0,0.0
PTK-07,FL,11,awal,37.43999507301654,0.0,2.371,4.024523038928095,0.0,2.8
PTK-07,FL,12,awal,31.50228076003303,0.0,2.682,3.455714312983512,0.0,0.2
PTK-07,FL,13,awal,25.3840677748057,0.0,3.226,2.892212985227332,0.0,0.0
PTK-07,FL,14,awal,19.25456570749739,0.0,3.799,2.330502067308308,0.0,0.0
PTK-07,FL,15,awal,13.207811004644618,0.0,4.279,1.767754702852774,0.0,0.0
PTK-07,FL,16,awal,8.943206660691029,0.0,3.052,1.212604343953589,0.0,0.0
PTK-07,FL,17,awal,13.995807244777854,11.056793339308971,4.168,1.8361927552221458,0.0,0.0
PTK-07,FL,18,awal,9.74185725146052,0.0,2.969,1.2849499933173358,0.0,0.0
PTK-07,FL,19,awal,13.574807244777855,10.25814274853948,4.589,1.8361927552221458,0.0,0.0
PTK-07,FL,20,awal,9.663880434972949,0.0,3.482,1.3289268098049063,0.0,0.9
PTK-07,FL,21,pertumbuhan,13.922807244777854,10.336119565027051,4.241,1.8361927552221458,0.0,0.0
