id_petak,rezim,cara_ambil_air,luas_ha,luas_m2,hujan_mm,irigasi_mm,etc_mm,perkolasi_mm,limpasan_mm,irigasi_m3,etc_m3,perkolasi_m3,limpasan_m3,tma_min_mm,tma_maks_mm,hari_diairi,irigasi_maks_harian_mm,masuk_mm,keluar_mm,delta_simpanan_mm,etc_pct,perkolasi_pct,limpasan_pct
P08,FL,shusui,0.41392062986983874,4139.206298698387,215.8,522.2454205127524,510.752,226.9117390011177,23.668826518278458,2161.681534052773,2114.1078954727986,939.234499322031,97.97015580725761,-4.088082504304769,50.0,57,14.255980424846879,738.0454205127523,761.3325655193962,-23.28714500664387,67.0865825438,29.80454919149741,3.108868264702576
P08,SRI,shusui,0.41392062986983874,4139.206298698387,215.8,498.0973317868685,488.4549999999999,243.81094004092841,26.55991823259444,2061.7276130970668,2021.8160126307205,1009.1837787089858,109.93698084126906,-33.99288036059974,40.0,16,36.84188036059974,713.8973317868686,758.8258582735228,-44.92852648665428,64.36984120590336,32.13002527294549,3.5001335211511435
P09,FL,tagoshi,0.23685504526999376,2368.5504526999375,215.8,377.9692317204028,510.752,57.56990922849221,40.44570067471234,895.2391948980076,1209.7418808173984,136.35723456503953,95.79768264285609,-5.483952749115338,50.0,44,15.483952749115339,593.7692317204028,608.7676099032046,-14.998378182801844,83.89933887599749,9.456795711855621,6.643865412146894
P09,SRI,tagoshi,0.23685504526999376,2368.5504526999375,215.8,323.7177388354746,488.4549999999999,63.661888740538984,39.462253740151965,766.7417968657635,1156.9303113735477,150.78639539613667,93.46833896079674,-34.023765103302765,40.0,10,34.023765103302765,539.5177388354746,591.5791424806908,-52.061403645216274,82.56798878198163,10.7613477502914,6.6706634677269765
P10,FL,tagoshi,0.1816409234566081,1816.409234566081,215.8,400.17328148492527,510.752,80.22474768643339,40.134234072306725,726.8784439158301,927.7346493730951,145.72097253837146,72.9001933911746,-5.684192030180103,50.0,47,15.684192030180103,615.9732814849253,631.1109817587402,-15.137700273814858,80.92903067170035,12.711670372597247,6.3592989557024
P10,SRI,tagoshi,0.1816409234566081,1816.409234566081,215.8,346.8110984129591,488.4549999999999,91.14135852219434,36.33004235509793,629.9508818073049,887.234172669975,165.5500052706118,65.99022442597673,-35.77922345006646,40.0,11,35.77922345006646,562.6110984129591,615.9264008772922,-53.31530246433306,79.3041180414204,14.797443069882624,5.898438888696992
P11,FL,tagoshi,0.14456520402603465,1445.6520402603464,215.8,394.7446571769103,510.752,73.32652425960684,41.561151283227986,570.6634190296714,738.3696708670525,106.00463940110043,60.08296314816746,-5.623852720660582,50.0,46,15.623852720660583,610.5446571769103,625.6396755428349,-15.095018365924602,81.63676633149059,11.720248431492974,6.642985237016425
P11,SRI,tagoshi,0.14456520402603465,1445.6520402603464,215.8,339.8372198740854,488.4549999999999,82.85175607222746,37.26162909517821,491.28637026737556,706.1359673253675,119.77481020496818,53.867350124868665,-35.24143141064824,40.0,11,35.24143141064824,555.6372198740854,608.5683851674056,-52.93116529332019,80.262960072373,13.614206404993665,6.122833522633326
P12,FL,tagoshi,0.050925879283292626,509.25879283292625,215.8,378.09951567116514,510.752,57.73684647663075,40.41007003363592,192.55050292141166,260.10494695700277,29.40299673866897,20.57918348362344,-5.485457141187115,50.0,44,15.485457141187116,593.8995156711651,608.8989165102666,-14.999400839101554,83.8812463203633,9.482172641648518,6.6365810379881935
P12,SRI,tagoshi,0.050925879283292626,509.25879283292625,215.8,323.8699112410887,488.4549999999999,63.84695216972965,39.43856662327254,164.93360003354383,248.750003653207,32.514621788018104,20.084436829628714,-34.03665057267886,40.0,10,34.03665057267886,539.6699112410887,591.7405187930021,-52.07060755191344,82.54547128128424,10.789687395407864,6.664841323307897
