petak,kode,nama,jenis,rezim,tanam,bulan_tanam_optimum,terhubung,tingkat,hulu,n_ruas_hilir,panjang_m,panjang_km,luas_ha,luas_m2,luas_layanan_sendiri_ha,luas_layanan_hilir_ha,zona_iklim,cuaca_dari,cuaca_jarak_km,efisiensi_kumulatif,nfr_mm_hari,dr_l_detik_ha,debit_l_detik,debit_l_detik_hilir,debit_l_detik_bersih,debit_l_detik_km,irigasi_m3,irigasi_m3_andalan,irigasi_m3_kotor,irigasi_m3_sendiri,etc_m3_sendiri,perkolasi_m3_sendiri,limpasan_m3_sendiri,water_loss_m3_sendiri,debit_l_detik_sendiri,irigasi_mm,hujan_mm,masuk_mm,keluar_mm,etc_mm,perkolasi_mm,limpasan_mm,etc_m3,perkolasi_m3,limpasan_m3,water_loss_m3,etc_pct,perkolasi_pct,limpasan_pct,loss_pct_masuk,irigasi_pct_masuk,hujan_pct_masuk,elev_rata_m,eto_rata_mm_hari,hujan_tahunan_mm,tma_rata,tma_min,hari_diairi,hari_kering,hari_limpas,n_musim
SS Tegal Buah,R084,SS Tegal Buah,Sekunder,SRI,Jan,Jan,True,58.0,SS Copong Kanan,55,9505.764740275474,9.505764740275474,1438.9024923832287,14389024.923832288,0.0,1438.9024923832287,SS Tegal Buah,,0.0,0.81,0.8774110263060261,0.12537308903549754,175.93590468025187,0.0,142.50808279100403,18.50833778105404,1723777.7694399846,2309746.304361723,2128120.7030123267,0.0,0.0,0.0,0.0,0.0,0.0,122.83754368284364,1427.8000000000002,1550.637543682844,1329.1259996769109,470.68299102613014,192.0,666.4430086507806,6798645.741200578,2762692.7853757995,11250428.989196906,20811767.51577328,32.66731543127161,13.274666763800571,54.05801780492783,85.71480840842847,7.921744458159974,92.07825554184002,645.0,3.5150161069316486,2564.2272727272725,30.877995033370148,0.7928509046963805,19.0,0.0,70.0,9.0
C.1.M,R085,C.1.M,Tersier,SRI,Jan,Jan,True,4.0,SS Cikukuk,0,1006.7270480318643,1.0067270480318644,23.131265789648054,231312.65789648055,23.131265789648054,0.0,SS Cikukuk,,0.0,0.9,0.8780475918904295,0.11291764299002435,2.6119280123428426,2.6119280123428426,2.3507352111085584,2.594474855373282,28434.49311356913,42575.39436788445,31593.881237299032,28434.49311356913,109740.5837043782,44412.03031612426,152701.5209236311,306854.1349441336,2.6119280123428426,122.92666286466013,1395.0,1517.92666286466,1326.5773595557407,474.4253284811177,192.0,660.1520310746231,109740.5837043782,44412.03031612426,152701.5209236311,306854.1349441336,35.76311061421993,14.473336109422151,49.763553276357904,87.39403503540802,8.098326873886688,91.90167312611331,637.0,3.4839397313562173,2402.2727272727275,30.01388624993117,-0.7129161167592271,19.0,1.0,64.0,9.0
CD.17.Ka,R086,CD.17.Ka,Tersier,SRI,Jan,Jan,True,3.0,SS Ciduga,0,485.3633116030573,0.4853633116030573,69.61865264103564,696186.5264103564,69.61865264103564,0.0,SS Ciduga,,0.0,0.9,0.8788296733193482,0.11301821930547173,7.868176151936025,7.868176151936025,7.081358536742423,16.210900090385948,85656.11286043635,128180.75207470822,95173.45873381816,85656.11286043635,330644.9967756142,133667.81307078843,456491.9008962205,920804.7107426231,7.868176151936025,123.03615426470876,1380.2999999999997,1503.3361542647085,1322.640809339463,474.93736840968484,192.0,655.7034409297781,330644.9967756142,133667.81307078843,456491.9008962205,920804.7107426231,35.908265120510855,14.51641281928132,49.57532206020783,87.98037655033815,8.184207764555927,91.81579223544406,634.0,3.476017790438906,2450.2454545454543,30.007160078887175,-0.7206109292274778,19.0,1.0,64.0,9.0
CD.18.Ka,R087,CD.18.Ka,Tersier,SRI,Jan,Jan,True,3.0,SS Ciduga,0,240.77758679856157,0.24077758679856157,27.242081468231323,272420.81468231324,27.242081468231323,0.0,SS Ciduga,,0.0,0.9,0.8788296733193482,0.11301821930547173,3.0788515377140953,3.0788515377140953,2.7709663839426857,12.78711851319414,33517.609380170725,50157.68559445102,37241.788200189694,33517.609380170725,129382.82482524027,52304.79641900414,178627.26556808624,360314.88681233063,3.0788515377140953,123.03615426470876,1380.2999999999997,1503.3361542647085,1322.640809339463,474.93736840968484,192.0,655.7034409297781,129382.82482524027,52304.79641900414,178627.26556808624,360314.88681233063,35.90826512051085,14.516412819281319,49.57532206020784,87.98037655033815,8.184207764555927,91.81579223544406,634.0,3.476017790438906,2450.2454545454543,30.007160078887175,-0.7206109292274778,19.0,1.0,64.0,9.0
CD.19.Ka,R088,CD.19.Ka,Tersier,SRI,Jan,Jan,True,3.0,SS Ciduga,0,180.24259890552534,0.18024259890552535,6.0537958818291795,60537.958818291794,6.0537958818291795,0.0,SS Ciduga,,0.0,0.9,0.8788296733193482,0.11301821930547173,0.6841892306031319,0.6841892306031319,0.6157703075428187,3.7959352270644495,7448.357640037935,11146.152354322441,8275.952933375484,7448.357640037935,28751.738850053378,11623.288093112023,39694.947904019136,80069.97484718454,0.6841892306031319,123.03615426470876,1380.2999999999997,1503.3361542647085,1322.640809339463,474.93736840968484,192.0,655.7034409297781,28751.738850053378,11623.288093112023,39694.947904019136,80069.97484718454,35.90826512051085,14.516412819281317,49.57532206020783,87.98037655033815,8.184207764555927,91.81579223544406,634.0,3.476017790438906,2450.2454545454543,30.007160078887175,-0.7206109292274778,19.0,1.0,64.0,9.0
SS Cioray,R089,SS Cioray,Sekunder,SRI,Jan,Feb,True,62.0,SS Lewo,3,965.9321989938668,0.9659321989938668,103.86908468855196,1038690.8468855197,0.0,103.86908468855196,SS Cioray,,0.0,0.81,0.7700841674830373,0.110037175280498,11.429460678099082,11.429460678099082,9.257863149260256,11.8325703294747,111983.11265345209,154163.83900936513,138250.7563622865,0.0,0.0,0.0,0.0,0.0,0.0,107.81178344762523,2031.0000000000002,2138.8117834476257,1863.8583630571477,466.12099981492037,192.0,1205.7373632422273,484155.61604888475,199428.64260201974,1252388.3629475823,1935972.6215984868,25.008391681134878,10.301211927127165,64.69039639173796,87.14457146167061,5.0407326293031565,94.95926737069684,529.0,3.627240515785811,3057.4636363636364,32.66528447528844,9.775422139452772,17.0,0.0,96.0,9.0
SS Kresek,R090,SS Kresek,Sekunder,SRI,Jan,Jan,True,62.0,SS Cibatu,8,934.7111007754147,0.9347111007754147,74.77258029614494,747725.8029614494,0.0,74.77258029614494,SS Kresek,,0.0,0.81,0.9910227880492374,0.14160705133305287,10.588324616301014,10.588324616301014,8.576542939203822,11.327911487856712,103741.86339260943,139039.8483535031,128076.37455877707,0.0,0.0,0.0,0.0,0.0,0.0,138.74319032689323,1315.3000000000002,1454.0431903268934,1218.210171570048,480.49493999210085,192.0,545.7152315779472,359278.464824507,143563.35416859828,408045.3597199138,910887.1787130191,39.44269644152056,15.760827193927256,44.796476364552184,83.78087939025895,9.541889212775132,90.45811078722488,595.0,3.5789807567969807,2307.909090909091,29.16244118865307,-1.6598144152828707,23.0,2.0,55.0,9.0
KR.2.Ki,R091,KR.2.Ki,Tersier,SRI,Jan,Jan,True,63.0,SS Kresek,4,2901.8207337804697,2.9018207337804696,56.71341586166015,567134.1586166015,56.71341586166015,0.0,SS Kresek,,0.0,0.9,0.9910227880492374,0.1274463461997476,7.227917632075397,0.0,6.505125868867857,2.4908215548721793,78686.0025098256,105458.77525937051,87428.891677584,78686.0025098256,272505.09351195453,108889.7584543875,309493.7487052229,690888.6006715649,7.227917632075397,138.74319032689323,1315.3000000000002,1454.0431903268934,1218.210171570048,480.49493999210085,192.0,545.7152315779472,272505.09351195453,108889.7584543875,309493.7487052229,690888.6006715649,39.44269644152056,15.760827193927257,44.796476364552184,83.78087939025895,9.541889212775132,90.45811078722488,595.0,3.5789807567969807,2307.909090909091,29.16244118865307,-1.6598144152828707,23.0,2.0,55.0,9.0
KR.2.Ki (2),R092,KR.2.Ki,Tersier,SRI,Jan,Jan,True,63.0,SS Kresek,2,1254.3934332709287,1.2543934332709286,18.05916443448478,180591.64434484782,18.05916443448478,0.0,SS Kresek,,0.0,0.9,0.9910227880492374,0.1274463461997476,2.3015745225955166,0.0,2.071417070335965,1.834810723294351,25055.860882783832,33581.073094132575,27839.84542531537,25055.860882783832,86773.37131255247,34673.59571421079,98551.61101469089,219998.57804145414,2.3015745225955166,138.74319032689323,1315.3000000000002,1454.0431903268934,1218.210171570048,480.49493999210085,192.0,545.7152315779472,86773.37131255247,34673.59571421079,98551.61101469089,219998.57804145414,39.44269644152056,15.760827193927259,44.79647636455218,83.78087939025895,9.541889212775132,90.45811078722488,595.0,3.5789807567969807,2307.909090909091,29.16244118865307,-1.6598144152828707,23.0,2.0,55.0,9.0
Ruas tanpa nama R093,R093,,Tersier,SRI,Jan,Jan,False,,,0,144.92064371277348,0.1449206437127735,2.0260552477789115,20260.552477789115,2.0260552477789115,0.0,Ruas tanpa nama R093,,0.0,0.9,0.8806099645870461,0.11324716622775798,0.2294450154318398,0.2294450154318398,0.2065005138886558,1.5832459030929367,2497.830215997181,3324.257200249487,2775.3669066635343,2497.830215997181,9640.916464729864,3890.02607573551,13412.938581166465,26943.88112163184,0.2294450154318398,123.28539504218645,1427.8000000000002,1551.0853950421865,1329.8690226324977,475.84667176765487,192.0,662.0223508648428,9640.916464729864,3890.02607573551,13412.938581166465,26943.88112163184,35.78146897697553,14.43751202053965,49.78101900248482,85.73796303435168,7.9483305971579545,92.05166940284207,555.0,3.5582369115909143,2564.2272727272725,30.814225702301766,0.7517725389261036,19.0,0.0,70.0,9.0
CS.4.Ka,R094,CS.4.Ka,Tersier,SRI,Jan,Jan,True,4.0,SS Ciseureuh,0,557.3489644218649,0.557348964421865,28.251047448536188,282510.4744853619,28.251047448536188,0.0,SS Ciseureuh,,0.0,0.9,0.986833788072452,0.12690763735499638,3.585273684497627,3.585273684497627,3.226746316047864,6.432726915024614,39030.72343891497,52425.32072711135,43367.4704876833,39030.72343891497,134993.3184902623,54242.011101189484,151854.10821157735,341089.4378030291,3.585273684497627,138.1567303301433,1315.3000000000002,1453.4567303301435,1207.3514740449118,477.83473776034066,192.0,537.5167362845712,134993.3184902623,54242.011101189484,151854.10821157735,341089.4378030291,39.57710310813484,15.902577180508574,44.52031971135659,83.06758975691484,9.50538997461327,90.49461002538673,641.0,3.5572069623064433,2307.909090909091,29.201758753216886,-1.6418478835166934,23.0,2.0,55.0,9.0
CS.5.Ka,R095,CS.5.Ka,Tersier,SRI,Jan,Jan,True,4.0,SS Ciseureuh,0,718.083970266799,0.718083970266799,25.224149507621593,252241.49507621594,25.224149507621593,0.0,SS Ciseureuh,,0.0,0.9,0.986833788072452,0.12690763735499638,3.201137218301452,3.201137218301452,2.881023496471307,4.457887031111546,34848.86021331693,46808.322077777986,38720.95579257437,34848.86021331693,120529.7486520199,48430.36705463346,135584.0251889083,304544.14089556166,3.201137218301452,138.1567303301433,1315.3000000000002,1453.4567303301435,1207.3514740449118,477.83473776034066,192.0,537.5167362845712,120529.7486520199,48430.36705463346,135584.0251889083,304544.14089556166,39.57710310813485,15.90257718050857,44.52031971135658,83.06758975691484,9.50538997461327,90.49461002538673,641.0,3.5572069623064433,2307.909090909091,29.201758753216886,-1.6418478835166934,23.0,2.0,55.0,9.0
CS.6.Ki.b,R096,CS.6.Ki.b,Tersier,SRI,Jan,Jan,False,,,0,957.4043135313776,0.9574043135313777,115.02212175475455,1150221.2175475454,141.255237242681,-26.233115487926455,CS.6.Ki.b,,0.0,0.9,0.9897784644033691,0.12728632515475424,14.64074318966542,3.3391168678184266,13.176668870698878,15.292121607080674,159384.98665997366,213756.50087464022,177094.42962219295,195735.9485297922,677635.8977768682,271210.05550594756,771642.4557314973,1720488.409014313,17.979860057483847,138.5689850164717,1315.3000000000002,1453.868985016472,1217.9997305575716,479.7244413760519,192.0,546.2752891815196,551789.2310468785,220842.47376912873,628337.428238505,1400969.1330545123,39.38625184723524,15.763550285196445,44.850197867568305,83.77644362114046,9.531050352167856,90.46894964783215,616.0,3.5751913052135995,2307.909090909091,29.17442120723949,-1.6545460210880516,23.0,2.0,55.0,9.0
CS.6.Ki.a,R097,CS.6.Ki.a,Tersier,SRI,Jan,Jan,False,,,0,558.6920157057763,0.5586920157057763,44.39450313341402,443945.0313341402,44.39450313341402,0.0,CS.6.Ki.a,,0.0,0.9,0.986996139111243,0.12692851583220716,5.634928393832512,5.634928393832512,5.071435554449261,10.085929699056289,61344.08446661826,82389.08442021166,68160.09385179807,61344.08446661826,212183.73014937268,85237.44601615492,238611.2277470186,536032.4039125462,5.634928393832512,138.17945947557402,1315.3000000000002,1453.4794594755742,1207.4296727720225,477.9504559646039,192.0,537.4792168074187,212183.73014937268,85237.44601615492,238611.2277470186,536032.4039125462,39.584123758307435,15.901547256098612,44.51432898559395,83.0716708722992,9.506805106515241,90.49319489348477,647.0,3.5607772895396286,2307.909090909091,29.200239772775507,-1.6426138137919417,23.0,2.0,55.0,9.0
CS.6.Ka,R098,CS.6.Ka,Tersier,SRI,Jan,Jan,False,,,0,700.5780506154197,0.7005780506154197,85.76210832591347,857621.0832591348,88.78900626682807,-3.026897940914594,CS.6.Ka,,0.0,0.9,0.9902346204316989,0.12734498719543452,10.921374586616917,0.3841364661961741,9.829237127955226,15.589090433283035,118894.45229974642,159419.18943239358,132104.94699971823,123076.31552534446,426159.87464787986,170474.89203230987,484594.88530657144,1081229.6519867613,11.305511052813092,138.63284686043784,1315.3000000000002,1453.932846860438,1218.118788672126,480.04452414475134,192.0,546.0742645273747,411696.3048096375,164663.24798575387,468324.8022839024,1044684.3550792937,39.4086790721001,15.762009566349406,44.8293113615505,83.78095255929328,9.535024066606365,90.46497593339363,603.0,3.575304352817498,2307.909090909091,29.16949643018216,-1.6573583100491498,23.0,2.0,55.0,9.0
CP.Ka.13.Ki,R099,CP.Ka.13.Ki,Tersier,SRI,Jan,Jan,True,38.0,SI Copong Kanan,0,1008.383378205013,1.008383378205013,40.969078628597856,409690.78628597857,40.969078628597856,0.0,SI Copong Kanan,,0.0,0.9,0.8765277099541885,0.11272218492209213,4.61812405726054,4.61812405726054,4.1563116515344865,4.579730444864231,50274.74573696115,75275.3061506281,55860.8285966235,50274.74573696115,193307.18159921665,78660.63096690789,269494.78355016233,541462.5961162869,4.61812405726054,122.71387939358638,1380.2999999999997,1503.0138793935862,1321.637230421694,471.8367804939636,192.0,657.8004499277305,193307.18159921665,78660.63096690789,269494.78355016233,541462.5961162869,35.7009298492155,14.527435788014133,49.77163436277035,87.93247012162847,8.164520705763353,91.83547929423663,682.0,3.4443790702566353,2450.2454545454543,30.04417853061752,-0.6894246109683779,19.0,1.0,64.0,9.0
Suplesi Cipari,R100,Suplesi Cipari,Tersier,SRI,Jan,Jan,False,,,0,1495.0902052457348,1.4950902052457347,72.09240656576686,720924.0656576686,72.09240656576686,0.0,Suplesi Cipari,,0.0,0.9,0.8772502326790192,0.11281510193917428,8.133112195757386,8.133112195757386,7.319800976181647,5.439880595312053,88540.31260789321,132544.51579598707,98378.12511988134,88540.31260789321,340848.3610431529,138417.42060627238,473824.221567126,953090.0032165513,8.133112195757386,122.8150325750627,1380.2999999999997,1503.1150325750625,1322.0393778186437,472.79370641096756,192.0,657.2456714076761,340848.3610431529,138417.42060627238,473824.221567126,953090.0032165513,35.76245264275518,14.523016728654389,49.71453062859044,87.95330691050246,8.170700838821501,91.8292991611785,672.0,3.456062894394416,2450.2454545454543,30.03293209322012,-0.6982246752008807,19.0,1.0,64.0,9.0
LW.2.Ki,R101,LW.2.Ki,Tersier,SRI,Jan,Jan,True,62.0,SS Lewo,1,1699.2579137436514,1.6992579137436514,58.12156470655067,581215.6470655067,58.12156470655067,0.0,SS Lewo,,0.0,0.9,0.8814076245274293,0.11334974595260149,6.588064593855208,3.069416521477402,5.929258134469687,3.8770245179208724,71720.30639454533,95446.15426059352,79689.2293272726,71720.30639454533,277307.2559984845,111593.40423657728,384157.37011138664,773058.0303464484,6.588064593855208,123.39706743384009,1427.8000000000002,1551.1970674338402,1330.0709198892573,477.1159506778217,192.0,660.9549692114356,277307.2559984845,111593.40423657728,384157.37011138664,773058.0303464484,35.87146696790775,14.435320487721516,49.69321254437074,85.74480624113131,7.9549574985966816,92.04504250140333,531.0,3.568834364780167,2564.2272727272725,30.797156621824865,0.7391091919809556,19.0,0.0,70.0,9.0
CP.3.Ka.2,R102,CP.3.Ka.2,Tersier,SRI,Jan,Jan,True,1.0,SI Copong,1,3434.8674843961667,3.434867484396167,140.62391749268807,1406239.1749268807,140.62391749268807,0.0,SI Copong,,0.0,0.9,0.8766227444353696,0.11273440643458969,15.853153869044906,5.387352918255,14.267838482140416,4.6153611285041505,172583.77427997047,258397.63521149015,191759.7491999672,172583.77427997047,663673.7136810778,269997.9215859611,924802.9733046333,1858474.6085716723,15.853153869044906,122.72718422095174,1380.2999999999997,1503.0271842209515,1321.5921172643382,471.94938493701574,192.0,657.6427323273224,663673.7136810778,269997.9215859611,924802.9733046333,1858474.6085716723,35.710668879740204,14.527931688744868,49.761399431514924,87.92869025514968,8.16533363530372,91.83466636469628,688.0,3.4511695815177803,2450.2454545454543,30.04275521983005,-0.6908478425166864,19.0,1.0,64.0,9.0
