ruas,jenis,hulu,terhubung,tingkat,panjang_m,debit_m3_detik,luas_layanan_ha,t_air_menit_cepat,t_hidraulik_menit_cepat,t_air_menit_tengah,t_hidraulik_menit_tengah,di_bawah_v_min,v_operasi_m_detik,t_air_menit_giliran,n,S,bh,m,h_m,b_m,A_m2,v_m_detik,beta,froude,t_air_menit,t_hidraulik_menit,t_gangguan_menit,t_air_menit_lambat,t_hidraulik_menit_lambat,kum_t_air_menit,kum_t_hidraulik_menit,kum_t_gangguan_menit,kum_t_air_menit_giliran,kum_t_air_menit_cepat,kum_t_air_menit_lambat,kum_t_hidraulik_menit_cepat,kum_t_hidraulik_menit_lambat,simpul_hulu,node_a,node_b,t_air_jam_cepat,t_hidraulik_jam_cepat,t_air_jam_tengah,t_hidraulik_jam_tengah,t_air_jam_giliran,t_air_jam,t_hidraulik_jam,t_gangguan_jam,t_air_jam_lambat,t_hidraulik_jam_lambat,kum_t_air_jam,kum_t_hidraulik_jam,kum_t_gangguan_jam,kum_t_air_jam_giliran,kum_t_air_jam_cepat,kum_t_air_jam_lambat,kum_t_hidraulik_jam_cepat,kum_t_hidraulik_jam_lambat
SS Cipanas Kiara,Sekunder,SS Copong Kanan,True,58.0,3217.4355604617767,0.10046508077786012,424.4485919797874,124.56982109623182,92.08301958079893,189.913591920461,138.97794915791565,False,0.28235960083444095,189.913591920461,0.027,0.0005,2.0,1.5,0.3188396084129427,0.6376792168258854,0.35580543562521516,0.28235960083444095,1.3665016146170716,0.19082395907896196,189.913591920461,138.97794915791565,30.432763144267323,282.3821540619793,204.57347123879464,1094.425287685648,795.2882684783888,165.58366234743252,1094.425287685648,710.4425542471012,1738.7228939544852,521.5053406424767,1250.938327404797,B.CP.Ka.21,B.CP.Ka.17,B.CP.Ka.21,2.076163684937197,1.5347169930133155,3.1652265320076833,2.3162991526319274,3.1652265320076833,3.1652265320076833,2.3162991526319274,0.5072127190711221,4.7063692343663215,3.4095578539799107,18.240421461427466,13.254804474639814,2.759727705790542,18.240421461427466,11.840709237451685,28.97871489924142,8.69175567737461,20.848972123413283
TB.1.Ki,Tersier,SS Tegal Buah,True,60.0,1217.8533134683018,0.01947659788377702,88.44070804811685,49.64239050634371,37.093263422029814,73.9323075884177,54.9738560581478,False,0.2745424278850932,73.9323075884177,0.03,0.0015,1.2,1.0,0.17957276652887297,0.21548731983464756,0.07094203265343287,0.2745424278850932,1.3448630474496255,0.2494700294424727,73.9323075884177,54.9738560581478,14.761374435737673,108.05592104336833,79.71675764552506,1391.431055535122,1013.5063226223788,220.46103952621692,1391.431055535122,906.4052831506848,2178.4663134311336,666.7597820057941,1570.9481132923167,B.TB 1,B.CP.Ka.21,B.TB 1,0.8273731751057285,0.6182210570338302,1.2322051264736282,0.9162309343024634,1.2322051264736282,1.2322051264736282,0.9162309343024634,0.24602290726229456,1.800932017389472,1.3286126274254177,23.190517592252032,16.891772043706315,3.674350658770282,23.190517592252032,15.10675471917808,36.30777189051889,11.112663033429902,26.182468554871946
TB.2.Ki,Tersier,SS Tegal Buah,True,60.0,612.785962413819,0.02275976040101417,103.34912374752142,24.02441744670998,17.95127180261168,35.779514285794455,26.60457832761514,False,0.2854454448985787,35.779514285794455,0.03,0.0015,1.2,1.0,0.19037545047620313,0.22845054057144376,0.079734186716838,0.2854454448985787,1.3448630474498395,0.2519108017028098,35.779514285794455,26.60457832761514,7.199591309550234,52.293625030061314,38.57889685892906,1353.2782622324987,985.1370448918461,212.8992564000295,1353.2782622324987,880.787310091051,2122.7040174178264,647.617790386376,1529.8102525057207,B.TB 2,B.CP.Ka.21,B.TB 2,0.4004069574451663,0.2991878633768613,0.5963252380965742,0.4434096387935857,0.5963252380965742,0.5963252380965742,0.4434096387935857,0.1199931884925039,0.8715604171676886,0.6429816143154844,22.554637703874977,16.418950748197435,3.5483209400004916,22.554637703874977,14.679788501517518,35.37840029029711,10.793629839772933,25.496837541762012
SS Cikondang,Sekunder,SS Cipanas Kiara,True,60.0,860.6545562371455,0.02057440848378189,90.43048327908105,49.53404568455176,36.61596732294864,75.51739623225644,55.263305527361226,True,0.25,57.3769704158097,0.027,0.0005,2.0,1.5,0.17591964893703527,0.35183929787407053,0.10831703008745408,0.18994620206231946,1.3665016146178097,0.17281837445480439,75.51739623225644,55.263305527361226,11.12771929923481,112.2866710148252,81.34676265094761,1169.9426839179046,850.55157400575,176.71138164666732,1151.8022581014577,759.9765999316529,1851.0095649693105,558.1213079654253,1332.2850900557446,B.CK.9,B.CP.Ka.21,B.CK.9,0.8255674280758626,0.610266122049144,1.2586232705376075,0.9210550921226871,0.956282840263495,1.2586232705376075,0.9210550921226871,0.18546198832058017,1.8714445169137535,1.3557793775157936,19.499044731965075,14.175859566762501,2.945189694111122,19.19670430169096,12.66627666552755,30.850159416155176,9.302021799423756,22.204751500929078
SS Wanakerta,Sekunder,SS Cipanas Kiara,True,60.0,1447.7737976330443,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B.CK.9,B.CP.Ka.21,B.CK.9,,,,,,,,,,,,,,,,,,
SS Cibatu,Sekunder,SS Cipanas Kiara,True,60.0,3151.202004753337,0.047891834628706456,193.26133824649625,146.83096166433768,108.53863479139603,223.8519337140912,163.81388160803652,True,0.25,210.08013365022245,0.027,0.0005,2.0,1.5,0.2414986143506888,0.4829972287013776,0.20412553256655952,0.23461952077499318,1.3665016146171904,0.18218948074330843,223.8519337140912,163.81388160803652,34.498249418623594,332.84500911129436,241.13159390194954,1318.2772213997393,959.1021500864254,200.08191176605612,1304.5054213358706,857.2735159114388,2071.56790306578,630.0439754338727,1492.0699213067467,B.CK.9,B.CP.Ka.21,B.CK.9,2.447182694405628,1.8089772465232672,3.7308655619015196,2.730231360133942,3.501335560837041,3.7308655619015196,2.730231360133942,0.5749708236437265,5.547416818521572,4.018859898365826,21.97128702332899,15.985035834773756,3.334698529434269,21.74175702226451,14.287891931857313,34.52613171776299,10.500732923897878,24.867832021779112
SS Munjul,Sekunder,SS Munjul,True,62.0,4369.918561840761,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bd. Citameng IV,Bd. Citameng IV,Bd. Citameng IV,,,,,,,,,,,,,,,,,,
CK.6.Ka,Tersier,SS Cipanas Kiara,True,60.0,700.4123719991428,0.014842386565275398,72.54313493816394,30.557220859327952,22.8326442626558,45.50880464409452,33.838988089069936,False,0.2565116711944635,45.50880464409452,0.03,0.0015,1.2,1.0,0.16217614160776048,0.19461136992931258,0.057862421994916834,0.2565116711944635,1.3448630474501087,0.24526907507777077,45.50880464409452,33.838988089069936,8.963446251369351,66.51348999920477,49.06940509350197,1139.9340923297425,829.1272565674587,174.54710859880188,1139.9340923297425,740.9997751064291,1805.23638395369,544.3379849051324,1300.007732498299,B.CK 6,B.CP.Ka.21,B.CK 6,0.5092870143221325,0.38054407104426335,0.7584800774015753,0.5639831348178322,0.7584800774015753,0.7584800774015753,0.5639831348178322,0.14939077085615585,1.1085581666534128,0.8178234182250328,18.998901538829042,13.818787609457646,2.909118476646698,18.998901538829042,12.349996251773819,30.08727306589483,9.072299748418875,21.666795541638315
CO.2.Ki,Tersier,SS Cikondang,True,61.0,1129.7741679591954,0.01363337177551701,66.58068549119153,50.347371248484066,37.62003169626804,74.98223392234743,55.75454992576978,False,0.2511204118763217,74.98223392234743,0.03,0.0015,1.2,1.0,0.15709027176462473,0.18850832611754967,0.05429017766278404,0.2511204118763217,1.3448630474495251,0.243970049634887,74.98223392234743,55.75454992576978,14.705675057963852,109.5904431047118,80.84883002148942,1244.924917840252,906.3061239315198,191.41705670463116,1226.7844920238051,810.3239711801369,1960.6000080740223,595.7413396616934,1413.133920077234,B.CO 2,B.CK.9,B.CO 2,0.8391228541414011,0.6270005282711341,1.2497038987057905,0.9292424987628297,1.2497038987057905,1.2497038987057905,0.9292424987628297,0.24509458429939754,1.8265073850785298,1.347480500358157,20.748748630670867,15.10510206552533,3.190284278410519,20.446408200396753,13.505399519668948,32.67666680123371,9.92902232769489,23.552232001287233
KL.7M.a,Tersier,SS Kawung Luwuk,True,5.0,355.1908551736623,0.0031888023424680345,13.11655774396322,22.760974628744062,17.007215386582644,33.89787155897417,25.20544498808119,True,0.25,23.67939034491082,0.03,0.0015,1.2,1.0,0.09110315387755824,0.10932378465306988,0.01825952622216372,0.17463773723753098,1.3448630474488086,0.22279248352179395,33.89787155897417,25.20544498808119,6.17618368815565,49.543506109750865,36.550034753562485,1210.1416557378748,884.0838190004673,194.82112943109027,1199.9231745238114,791.7891550811598,1836.088861462681,584.2444608910941,1327.8919618742739,BKL7M,BLG2,BKL7M,0.37934957714573436,0.2834535897763774,0.5649645259829028,0.4200907498013532,0.3946565057485137,0.5649645259829028,0.4200907498013532,0.10293639480259416,0.8257251018291811,0.6091672458927081,20.169027595631245,14.734730316674455,3.2470188238515045,19.99871957539686,13.19648591801933,30.601481024378018,9.737407681518237,22.131532697904564
