hujan_mm,irigasi_mm,irigasi_pl_mm,etc_mm,perkolasi_mm,limpasan_mm,wlr_mm,masuk_mm,keluar_mm,tma_rata,tma_min,hari_kering,kecamatan,rezim,bulan,tahun_tanam
262.0,653.9379916917019,243.94634808706263,453.71499402670383,280.0,3.437729998080192,100.0,915.9379916917019,737.152724024784,10.987496102653619,-4.50671171250433,9,Karangpawitan,FL,5,2018
423.4,546.1886043852254,135.60119676547922,455.6347105826214,280.0,51.75835870788677,100.0,969.5886043852254,787.3930692905083,9.073195822240349,-4.4692704109170345,12,Karangpawitan,FL,5,2019
990.7,288.97344875287894,113.06186110349418,420.95419104867227,280.0,388.8730943022533,100.0,1279.673448752879,1089.8272853509256,30.137240900295527,-4.153375809851403,7,Karangpawitan,FL,5,2020
780.2,418.1349833610598,243.2285344904442,448.6724227177716,280.0,297.1928777848668,100.0,1198.3349833610598,1025.8653005026385,25.977900519159494,-4.7235859635194615,12,Karangpawitan,FL,5,2021
683.2,343.04674485139793,152.12538428440487,450.1541604582533,280.0,117.17846134192618,100.0,1026.246744851398,847.3326218001795,23.523285176714865,-5.8103590996010865,6,Karangpawitan,FL,5,2022
646.7,449.70238350051665,186.22561445244324,453.1341786329607,280.0,184.9267605309825,100.0,1096.4023835005166,918.0609391639432,22.191363170787337,-5.622589736190207,11,Karangpawitan,FL,5,2023
495.1,493.1045147026804,169.37221503871027,468.2661434969025,280.0,61.57974910341778,100.0,988.2045147026804,809.8458926003202,13.655955291484904,-3.5748857813281525,12,Karangpawitan,FL,5,2024
626.4,349.5676568738663,59.990040098561316,458.35548661262817,161.27999999999997,200.02445501656246,0.0,975.9676568738663,819.6599416291906,-7.939164396777111,-33.79212294934196,75,Karangpawitan,SRI,5,2015
862.8,110.58272791728663,110.5827279172866,424.6477567529465,183.36,190.923991220498,0.0,973.3827279172866,798.9317479734445,15.735121442850943,-20.919464726667883,29,Karangpawitan,SRI,5,2016
420.5,343.2229747031038,165.97656808914192,408.58968736710545,164.15999999999997,23.297970325042495,0.0,763.7229747031038,596.0476576921479,-4.456114347503919,-32.95609430435362,70,Karangpawitan,SRI,5,2017
262.0,498.9595149744064,243.94634808706263,439.27820803217037,165.6,3.437729998080192,0.0,760.9595149744064,608.3159380302505,-4.982162608622312,-32.31358565164033,67,Karangpawitan,SRI,5,2018
423.4,385.0060061371605,135.60119676547922,440.382858376446,159.83999999999997,51.75835870788677,0.0,808.4060061371605,651.9812170843327,-6.7695244262435015,-31.741001613184288,79,Karangpawitan,SRI,5,2019
990.7,144.3345617931846,113.06186110349418,407.5075387870176,180.0,373.5435031446146,0.0,1135.0345617931846,961.0510419316322,15.136688714890779,-31.272700689690414,34,Karangpawitan,SRI,5,2020
780.2,280.82109880473524,243.2285344904442,434.0380405117491,180.0,281.1476303169836,0.0,1061.0210988047352,895.1856708287328,12.408758976410528,-21.39512739542068,42,Karangpawitan,SRI,5,2021
683.2,182.80355318170717,152.12538428440487,435.86072744076716,182.39999999999998,78.73553439333995,0.0,866.0035531817073,696.9962618341071,10.863670702247948,-31.178168897302285,27,Karangpawitan,SRI,5,2022
646.7,283.2047499322083,186.22561445244324,438.8140152944755,175.2,173.3618045734098,0.0,929.9047499322083,787.3758198678853,9.558766317352735,-33.843390630965104,41,Karangpawitan,SRI,5,2023
495.1,298.3224665191123,169.37221503871027,453.25246894075315,160.79999999999995,35.78116148013955,0.0,793.4224665191123,649.8336304208926,-7.441435019438405,-34.13038998378983,77,Karangpawitan,SRI,5,2024
148.10000000000002,826.1559011498771,283.4847413377004,511.6493588285912,280.0,3.643955134188687,100.0,974.2559011498771,795.2933139627798,7.638489201582864,-3.6818123036794965,10,Karangpawitan,FL,6,2015
825.3999999999999,352.5722531787311,166.96785865589374,444.8914907655926,280.0,236.7402471777996,100.0,1177.972253178731,961.6317379433922,20.718354274279296,0.4744938789421269,0,Karangpawitan,FL,6,2016
244.60000000000002,659.7617643294905,282.915296980282,435.92730971730214,280.0,3.7545730184716106,100.0,904.3617643294905,719.6818827357738,11.219071243728973,-5.0360376923734895,11,Karangpawitan,FL,6,2017
200.79999999999998,717.8111377889396,285.9879832994137,460.29317834760445,280.0,1.4407126799575796,100.0,918.6111377889396,741.733891027562,9.866440475192222,-4.914229563624625,10,Karangpawitan,FL,6,2018
182.60000000000002,758.7007982380355,236.51232415308203,485.33255828555684,280.0,0.0,100.0,941.3007982380356,765.3325582855568,7.609476505710663,-6.069213932184889,13,Karangpawitan,FL,6,2019
664.7,365.21935975696374,151.96176831976578,432.9601192878604,280.0,136.28487617619658,100.0,1029.9193597569638,849.244995464057,22.536064527792767,-5.658273500856886,12,Karangpawitan,FL,6,2020
806.7,357.4843763279539,208.13473148586266,440.95302113473616,280.0,248.41209585958424,100.0,1164.184376327954,969.3651169943205,27.436513127976426,-3.72367029235334,4,Karangpawitan,FL,6,2021
649.5,374.67298699310874,219.97472399596776,447.0195476984993,280.0,84.4761910025162,100.0,1024.1729869931087,811.4957387010155,26.793517836165336,-2.6614141547464363,5,Karangpawitan,FL,6,2022
395.0,593.1647693539817,236.58312873442534,463.00614280151103,280.0,66.48638511870068,100.0,988.1647693539817,809.4925279202117,17.902306095175618,-3.1448599651539464,13,Karangpawitan,FL,6,2023
358.40000000000003,614.1069195532721,261.43780183606714,483.20003121470745,280.0,36.62014360696237,100.0,972.5069195532722,799.8201748216699,13.400889993820496,-6.309142942839128,9,Karangpawitan,FL,6,2024
148.10000000000002,657.7031009231387,283.4847413377004,494.2033930183345,159.35999999999999,3.643955134188687,0.0,805.8031009231387,657.2073481525232,-9.81817738354488,-34.43954030348527,82,Karangpawitan,SRI,6,2015
825.3999999999999,219.8513458854244,166.96785865589374,429.7598055166336,176.64,231.6784744939438,0.0,1045.2513458854241,838.0782800105774,6.607676084268264,-21.22116723687585,44,Karangpawitan,SRI,6,2016
244.60000000000002,501.2112580224224,282.915296980282,421.7555161114206,162.24,11.54923346682665,0.0,745.8112580224224,595.5447495782472,-6.003443535778149,-32.344915443016404,75,Karangpawitan,SRI,6,2017
200.79999999999998,577.0114484319424,285.9879832994137,445.0984128645037,161.75999999999996,1.4407126799575796,0.0,777.8114484319424,608.2991255444612,-6.077930095320491,-34.59141907160516,74,Karangpawitan,SRI,6,2018
182.60000000000002,607.190701351066,236.51232415308203,468.9268999779873,160.32,0.0,0.0,789.790701351066,629.2468999779874,-9.19139268735262,-32.999117211683675,82,Karangpawitan,SRI,6,2019
664.7,247.61999943517392,151.96176831976578,418.28305748719873,172.32,152.45728860867416,0.0,912.3199994351739,743.0603460958729,7.037922335923701,-34.5785232330166,46,Karangpawitan,SRI,6,2020
806.7,219.355896949014,208.13473148586266,426.28501860930413,176.16,236.54575668334,0.0,1026.0558969490141,838.9907752926441,8.182968107782985,-28.465245357705065,44,Karangpawitan,SRI,6,2021
649.5,253.8752514887444,219.97472399596776,432.0679205895125,173.76,90.69664688798134,0.0,903.3752514887444,696.5245674774939,9.974072199176781,-33.900527492776604,39,Karangpawitan,SRI,6,2022
395.0,442.7123427327733,236.58312873442534,447.54585202184694,169.91999999999996,59.032808304211024,0.0,837.7123427327733,676.4986603260579,4.2683925791951145,-33.24169887447931,54,Karangpawitan,SRI,6,2023
358.40000000000003,449.0221194003101,261.43780183606714,466.9569315194027,164.15999999999997,14.849473897339305,0.0,807.4221194003101,645.966405416742,-3.7707047022695206,-32.50599244386717,73,Karangpawitan,SRI,6,2024
