hujan_mm,irigasi_mm,irigasi_pl_mm,etc_mm,perkolasi_mm,limpasan_mm,wlr_mm,masuk_mm,keluar_mm,tma_rata,tma_min,hari_kering,hari_diairi,hari_limpas,di,rezim,bulan,tahun_tanam
1717.6999999999998,162.90405594735185,37.07703264935584,447.23735879582557,280.0,958.1942817801503,100.0,1880.6040559473518,1685.431640575976,36.56523958234749,-2.827023297996007,1,37,79,DI Citameng I,FL,3,2016
840.0,358.52391106424835,141.68634121221478,479.11597731434495,280.0,256.47698908939486,100.0,1198.5239110642483,1015.5929664037399,28.067146088996143,-4.325224680151312,9,66,25,DI Citameng I,FL,3,2017
719.3,384.63661533529705,110.97025351491827,506.5554195916572,280.0,143.5456999066282,100.0,1103.9366153352971,930.1011194982855,21.15961630352515,-3.772941761906373,13,63,17,DI Citameng I,FL,3,2018
1070.1000000000001,350.96398781009333,128.93983170766342,487.6002988600456,280.0,481.8929091323484,100.0,1421.0639878100935,1249.493207992394,31.40036889048629,-5.536636629231177,11,62,44,DI Citameng I,FL,3,2019
1446.1000000000001,134.19741692660992,34.19741692660992,461.90049099082387,280.0,636.4389809880145,100.0,1580.2974169266101,1378.3394719788384,39.65548565952418,20.907096229619693,0,41,65,DI Citameng I,FL,3,2020
1053.3999999999999,282.75056635653544,147.72458012311898,476.92005089488157,280.0,359.06397040582164,100.0,1336.1505663565354,1115.9840213007033,31.7101884301904,-2.526081654884425,1,55,36,DI Citameng I,FL,3,2021
997.8000000000001,265.8237753153889,150.82377531538896,490.01579883467775,280.0,283.240381598413,100.0,1263.623775315389,1053.2561804330908,38.8839082990516,4.1921780063394145,0,53,41,DI Citameng I,FL,3,2022
1046.6000000000001,338.0073307664435,132.89700621678512,487.67593662282195,280.0,419.76764809463674,100.0,1384.6073307664437,1187.4435847174586,29.121542816376454,-3.955704759640891,7,59,43,DI Citameng I,FL,3,2023
824.4000000000001,309.1864864309924,140.46765534286322,525.6798971524317,280.0,158.23793874157624,100.0,1133.5864864309924,963.917835894008,26.615353837106532,-1.7496959322868264,9,61,25,DI Citameng I,FL,3,2024
1598.3999999999999,115.92406935631215,55.28100346157375,448.94507511760014,176.16,938.8175247095661,0.0,1714.324069356312,1563.9225998271663,18.03694793793458,-30.526288820320598,36,11,79,DI Citameng I,SRI,3,2015
1717.6999999999998,37.07703264935584,37.07703264935584,431.8943278323368,192.0,935.2091664365767,0.0,1754.7770326493558,1559.1034942689134,29.470425782870137,0.9974944880596235,0,5,81,DI Citameng I,SRI,3,2016
840.0,209.88809575870573,141.68634121221478,462.74273148702713,176.64,249.69980335771265,0.0,1049.8880957587057,889.0825348447397,13.94546932282906,-34.01459103960692,35,25,23,DI Citameng I,SRI,3,2017
719.3,240.30475239072376,110.97025351491827,489.22766324930893,169.91999999999996,158.60233794316522,0.0,959.6047523907237,817.7500011924741,3.459302848008786,-34.51527805458619,54,21,20,DI Citameng I,SRI,3,2018
